timestamp_ms,event,details
0,start,jobs=32 batch_size=100 adaptive=false
662,batch_start,ThreadId(8) files=24 pred=9.67s items=[tests/diagnostics/specialization-constants.slang(0.10s) tests/diagnostics/command-line/option-missing-argument.slang.1(0.50s) tests/diagnostics/array-of-unbounded-arrays.slang(0.01s) tests/diagnostics/sv-semantic-hull-domain.slang.0(0.50s) tests/diagnostics/int-literal-errors.slang(0.43s) tests/diagnostics/command-line/entry-point-conflicting-stage.slang.1(0.50s) tests/diagnostics/entry-point-mod-errors.slang.0(0.50s) tests/diagnostics/entry-point-main-warning.slang.2(0.50s) tests/diagnostics/for-loop-warning.slang(0.06s) tests/diagnostics/sv-semantic-type-validation.slang.0(0.50s) tests/diagnostics/while-predicate-type.slang(0.02s) tests/diagnostics/entry-point-main-warning.slang.1(0.50s) tests/diagnostics/sv-semantic-struct-invalid.slang(0.05s) tests/diagnostics/constexpr-param.slang.2(0.50s) tests/diagnostics/local-line.slang.4(0.50s) tests/diagnostics/overload-ambiguous.slang.0(0.50s) tests/diagnostics/illegal-func-decl.slang.1(0.50s) tests/diagnostics/image-format-unsupported-by-backend.slang.1(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.2(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.4(0.50s) tests/diagnostics/entry-point-mod-errors.slang.2(0.50s) tests/diagnostics/entry-point-mod-errors.slang.1(0.50s) tests/diagnostics/syntax-error-op-line.slang.4(0.50s) tests/diagnostics/tessellation-legalize-array-size-too-big.slang.0(0.50s)]
668,batch_start,ThreadId(7) files=39 pred=9.52s items=[tests/diagnostics/uninitialized-existential.slang(0.03s) tests/diagnostics/command-line/profile-ignored.slang.1(0.50s) tests/diagnostics/image-format-unsupported-by-backend.slang.2(0.50s) tests/diagnostics/invalid-vector-element-count.slang(0.04s) tests/diagnostics/command-line/entry-point-redundant-stage.slang.1(0.50s) tests/diagnostics/sccp-div-by-zero.slang(0.09s) tests/diagnostics/invalid-constant-pointer-taking.slang(0.02s) tests/diagnostics/command-line/unknown-option.slang(0.06s) tests/diagnostics/nested-func.slang(0.06s) tests/diagnostics/local-line.slang.5(0.50s) tests/diagnostics/local-line.slang.1(0.50s) tests/diagnostics/missing-return-target.slang.2(0.50s) tests/diagnostics/missing-return-target.slang.4(0.50s) tests/diagnostics/force-no-diff-this.slang(0.06s) tests/diagnostics/uninitialized-fields-delegated.slang(0.00s) tests/diagnostics/missing-semicolon-after-semantic.slang(0.05s) tests/diagnostics/void-function-returning-value.slang(0.09s) tests/diagnostics/command-line/profile-ignored.slang.0(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.6(0.50s) tests/diagnostics/missing-return-target.slang.1(0.50s) tests/diagnostics/no-type-conformance.slang(0.08s) tests/diagnostics/metal-mesh-shader-output-ref.slang(0.00s) tests/diagnostics/uninitialized-local-variables.slang(0.02s) tests/diagnostics/array-parameterblock-array-in-struct.slang(0.04s) tests/diagnostics/extension-visibility.slang(0.07s) tests/diagnostics/uninitialized-out-parameters.slang(0.01s) tests/diagnostics/float-as-int-requires-constant.slang(0.03s) tests/diagnostics/constexpr-error.slang.1(0.50s) tests/diagnostics/syntax-error-intrinsic.slang.4(0.50s) tests/diagnostics/array-parameterblock-nested.slang(0.02s) tests/diagnostics/missing-return-target.slang.7(0.50s) tests/diagnostics/float-as-int-type-mismatch.slang(0.12s) tests/diagnostics/missing-return-target.slang.6(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.3(0.50s) tests/diagnostics/constexpr-param.slang.0(0.50s) tests/diagnostics/get-vertex-attribute.slang(0.10s) tests/diagnostics/break-outside-loop.slang.1(0.50s) tests/diagnostics/float-literal.slang(0.03s) tests/diagnostics/array-parameterblock-deeply-nested.slang(0.01s)]
672,batch_start,ThreadId(9) files=35 pred=9.81s items=[tests/diagnostics/structuredbuffer-with-unbounded.slang(0.04s) tests/diagnostics/sv-semantic-geometry.slang.1(0.50s) tests/diagnostics/local-line.slang.3(0.50s) tests/diagnostics/recursion.slang(0.00s) tests/diagnostics/invalid-namespace-nesting.slang(0.01s) tests/diagnostics/unresolved-symbol.slang(0.00s) tests/diagnostics/sv-semantic-type-validation.slang.4(0.50s) tests/diagnostics/sv-semantic-type-validation.slang.5(0.50s) tests/diagnostics/syntax-error-op-line-3.slang.4(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.5(0.50s) tests/diagnostics/sv-semantic-inout.slang.0(0.50s) tests/diagnostics/illegal-func-decl.slang.4(0.50s) tests/diagnostics/missing-return.slang(0.06s) tests/diagnostics/local-line.slang.0(0.50s) tests/diagnostics/syntax-error-op-line-2.slang.0(0.50s) tests/diagnostics/autodiff-data-flow-2.slang(0.13s) tests/diagnostics/constexpr-error.slang.0(0.50s) tests/diagnostics/sv-semantic-geometry.slang.0(0.50s) tests/diagnostics/autodiff-data-flow-4.slang(0.08s) tests/diagnostics/syntax-error-op-line-2.slang.3(0.50s) tests/diagnostics/extension-unreferenced-generic-param.slang(0.02s) tests/diagnostics/x-macro-line-continuation.slang(0.02s) tests/diagnostics/uninitialized-struct-from-constructor.slang(0.06s) tests/diagnostics/matrix-swizzle.slang(0.03s) tests/diagnostics/methods/mutating-method-on-rvalue.slang(0.02s) tests/diagnostics/command-line/option-missing-argument.slang.0(0.50s) tests/diagnostics/token-paste-location.slang(0.03s) tests/diagnostics/param-mutation.slang(0.04s) tests/diagnostics/sv-semantic-wrong-direction.slang(0.11s) tests/diagnostics/inheritance-1.slang(0.11s) tests/diagnostics/already-has-a-body.slang(0.06s) tests/diagnostics/syntax-error-op-line-2.slang.2(0.50s) tests/diagnostics/syntax-error-op-line-2.slang.1(0.50s) tests/diagnostics/break-outside-loop.slang.0(0.50s) tests/diagnostics/uninitialized-resource-type.slang.1(0.50s)]
677,batch_start,ThreadId(10) files=39 pred=9.85s items=[tests/diagnostics/sv-semantic-type-validation.slang.2(0.50s) tests/diagnostics/syntax-error-intrinsic.slang.0(0.50s) tests/diagnostics/command-line/entry-point-conflicting-stage.slang.0(0.50s) tests/diagnostics/illegal-func-decl.slang.3(0.50s) tests/diagnostics/register-bindings.slang(0.15s) tests/diagnostics/illegal-texel-type.slang(0.03s) tests/diagnostics/command-line/unknown-output-format.slang(0.06s) tests/diagnostics/syntax-error-intrinsic.slang.2(0.50s) tests/diagnostics/continue-outside-loop.slang(0.07s) tests/diagnostics/illegal-func-decl.slang.2(0.50s) tests/diagnostics/missing-return-target.slang.5(0.50s) tests/diagnostics/invalid-constraint.slang(0.04s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.0(0.50s) tests/diagnostics/setter-method.slang(0.00s) tests/diagnostics/overload-ambiguous.slang.1(0.50s) tests/diagnostics/mismatching-types.slang(0.07s) tests/diagnostics/end-of-input.slang(0.07s) tests/diagnostics/single-shader-record.slang(0.03s) tests/diagnostics/pragma-warning-multifile-main.slang(0.20s) tests/diagnostics/sv-semantic-hull-domain.slang.1(0.50s) tests/diagnostics/interfaces/interface-extension.slang(0.06s) tests/diagnostics/comma-operator-warning.slang(0.02s) tests/diagnostics/syntax-error-op-line-3.slang.2(0.50s) tests/diagnostics/interface-requirement-not-satisfied.slang(0.00s) tests/diagnostics/groupshared-local.slang(0.03s) tests/diagnostics/command-line/unknown-line-directive-mode.slang(0.07s) tests/diagnostics/entry-point-main-warning.slang.0(0.50s) tests/diagnostics/invalid-spv-obj.slang(0.01s) tests/diagnostics/interfaces/return-type-mismatch.slang(0.16s) tests/diagnostics/uninitialized-fields.slang(0.12s) tests/diagnostics/local-line.slang.2(0.50s) tests/diagnostics/unsized.slang(0.00s) tests/diagnostics/division-by-matrix.slang.0(0.50s) tests/diagnostics/syntax-error-op-line-3.slang.1(0.50s) tests/diagnostics/syntax-error-op-line-3.slang.0(0.50s) tests/diagnostics/sv-semantic-inout.slang.1(0.50s) tests/diagnostics/overlapping-bindings.slang(0.12s) tests/diagnostics/structuredbuffer-resource-static.slang(0.01s) tests/diagnostics/ambiguous-member-base/user.slang(0.04s)]
682,batch_start,ThreadId(11) files=48 pred=9.75s items=[tests/diagnostics/syntax-error-intrinsic.slang.1(0.50s) tests/diagnostics/local-used-before-declared.slang(0.04s) tests/diagnostics/sv-semantic-type-validation.slang.3(0.50s) tests/diagnostics/bool-to-float.slang(0.01s) tests/diagnostics/resource-type-in-dynamic-dispatch.slang(0.12s) tests/diagnostics/autodiff-custom-diff-inout.slang(0.12s) tests/diagnostics/array-parameterblock-struct.slang(0.14s) tests/diagnostics/constexpr-param.slang.1(0.50s) tests/diagnostics/hlsl-to-vulkan-sampler-diagnostic.hlsl.1(0.50s) tests/diagnostics/comma-operator-warning-slang2026.slang(0.07s) tests/diagnostics/array-out-of-bounds-2.slang(0.07s) tests/diagnostics/concrete-argument-to-output-interface.slang(0.15s) tests/diagnostics/syntax-error-op-line.slang.0(0.50s) tests/diagnostics/command-line/entry-point-redundant-stage.slang.0(0.50s) tests/diagnostics/parameter-block-to-mutating-func.slang(0.05s) tests/diagnostics/uninitialized-resource-field.slang(0.11s) tests/diagnostics/warning_operator_left_shift_overflow.slang(0.01s) tests/diagnostics/lvalue-in-bwd-diff.slang(0.07s) tests/diagnostics/constant-buffer-unsized.slang(0.09s) tests/diagnostics/tessellation-legalize-array-size-too-big.slang.1(0.50s) tests/diagnostics/generic-type-inference-fail.slang(0.01s) tests/diagnostics/recursive-type.slang(0.03s) tests/diagnostics/uninitialized-resource-type.slang.0(0.50s) tests/diagnostics/sv-semantic-type-validation.slang.1(0.50s) tests/diagnostics/syntax-error-op-line.slang.2(0.50s) tests/diagnostics/syntax-error-op-line-2.slang.4(0.50s) tests/diagnostics/structuredbuffer-resource-struct-array.slang(0.01s) tests/diagnostics/glsl-global-const-with-init.slang(0.05s) tests/diagnostics/private-visibility.slang(0.03s) tests/diagnostics/command-line/output-no-entry-point.slang(0.02s) tests/diagnostics/inheritance-2.slang(0.09s) tests/diagnostics/missing-return-target.slang.3(0.50s) tests/diagnostics/no-subscript.slang(0.40s) tests/diagnostics/interfaces/anyvalue-size-validation.slang(0.02s) tests/diagnostics/int-texture-sample.slang(0.15s) tests/diagnostics/call-instance-from-static.slang(0.01s) tests/diagnostics/hlsl-to-vulkan-sampler-diagnostic.hlsl.0(0.50s) tests/diagnostics/static-ref-to-nonstatic-member.slang(0.02s) tests/diagnostics/missing-return-target.slang.0(0.50s) tests/diagnostics/structuredbuffer-resource-struct.slang(0.08s) tests/diagnostics/nested-pragma-main.slang(0.03s) tests/diagnostics/structuredbuffer-resource-struct-recursive.slang(0.05s) tests/diagnostics/entry-point-no-stage.slang(0.01s) tests/diagnostics/autodiff.slang(0.02s) tests/diagnostics/uninitialized-generic.slang(0.07s) tests/diagnostics/visibility.slang(0.06s) tests/diagnostics/diag-non-exhaustive-test.slang(0.10s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.1(0.50s)]
686,batch_start,ThreadId(13) files=1 pred=0.00s items=[tests/diagnostics/wavesize-invalid-size.slang(0.00s)]
686,batch_start,ThreadId(14) files=1 pred=0.00s items=[tests/diagnostics/nested-constant-buffer-in-parameter-block.slang(0.00s)]
686,batch_start,ThreadId(15) files=1 pred=0.00s items=[tests/diagnostics/cuda-kernel-non-void-return.slang(0.00s)]
686,batch_start,ThreadId(16) files=1 pred=0.00s items=[tests/diagnostics/generic-value-parameter-float-type.slang(0.00s)]
